,Estado,Casos,Defunciones,MOO1,MOO1_n,MOO2,MOO2_n,MOO3,MOO3_n
1,Aguascalientes,1,0,NA,NA,NA,NA,NA,NA
2,Baja California,1,0,NA,NA,NA,NA,NA,NA
3,Baja California Sur,1,0,NA,NA,NA,NA,NA,NA
4,Campeche,1,0,NA,NA,NA,NA,NA,NA
5,Chiapas,1,0,NA,NA,NA,NA,NA,NA
6,Chihuahua,1,0,NA,NA,NA,NA,NA,NA
7,Ciudad de México,1,0,NA,NA,NA,NA,NA,NA
8,Coahuila,1,0,NA,NA,NA,NA,NA,NA
9,Colima,1,0,NA,NA,NA,NA,NA,NA
10,Durango,1,0,NA,NA,NA,NA,NA,NA
11,Estado de México,1,0,NA,NA,NA,NA,NA,NA
12,Guanajuato,1,0,NA,NA,NA,NA,NA,NA
13,Guerrero,1,0,NA,NA,NA,NA,NA,NA
14,Hidalgo,1,0,NA,NA,NA,NA,NA,NA
15,Jalisco,1,0,NA,NA,NA,NA,NA,NA
16,Michoacán,1,0,NA,NA,NA,NA,NA,NA
17,Morelos,1,0,NA,NA,NA,NA,NA,NA
18,México,1,0,NA,NA,NA,NA,NA,NA
19,Nayarit,1,0,NA,NA,NA,NA,NA,NA
20,Nuevo León,75,5,KLEBSIELLA PNEUMONIAE SPP PNEUMONIAE,49.33333333,PSEUDOMONAS AERUGINOSA,38.66666667,ACINETOBACTER BAUMANNII COMPLEX,16
21,Oaxaca,1,0,NA,NA,NA,NA,NA,NA
22,Puebla,1,0,NA,NA,NA,NA,NA,NA
23,Querétaro,1,0,NA,NA,NA,NA,NA,NA
24,Quintana Roo,1,0,NA,NA,NA,NA,NA,NA
25,San Luis Potosí,1,0,NA,NA,NA,NA,NA,NA
26,Sinaloa,1,0,NA,NA,NA,NA,NA,NA
27,Sonora,1,0,NA,NA,NA,NA,NA,NA
28,Tabasco,1,0,NA,NA,NA,NA,NA,NA
29,Tamaulipas,1,0,NA,NA,NA,NA,NA,NA
30,Tlaxcala,1,0,NA,NA,NA,NA,NA,NA
31,Veracruz,1,0,NA,NA,NA,NA,NA,NA
32,Yucatán,1,0,NA,NA,NA,NA,NA,NA
33,Zacatecas,1,0,NA,NA,NA,NA,NA,NA
